Identifier,Label,Status,Description,Created,Modified,History notes,Type
1614,16 to 19 bursary fund,Live,"Those aged between 16 and 19 years who think they might struggle with the costs for full-time education or training, may be eligible for a bursary.",03/04/2013,25/01/2019,Added in version 4.00.,Service
1152,Abandoned shopping trolleys,Live,"Abandoned shopping trolleys have a negative impact on the quality of the local environment and can be hazardous to pedestrians, cyclists and road users.  Local Authorities are permitted to seize, store and dispose of abandoned shopping trolleys within their area.",03/04/2013,03/04/2013,Added in version 3.05.,Service
372,Abandoned vehicles,Live,The local council will deal with any vehicles reported as abandoned on local roads or property (usually including private property). The vehicle will be removed.,03/04/2013,03/04/2013,"Added scope notes in version 2.02, updated in version 3.06. Term name changed from 'Abandoned vehicles' to 'Vehicles - abandoned - reporting and procedures' in version 3.00. Name changed to 'Abandoned vehicles' in version 4.00.",Service
785,Abnormal load notification,Live,A haulier who intend to move an abnormal load such as gross weight exceeding 40 tonnes or more must notify and gain consent from the police or the local authority..,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Abnormal loads' to 'Transport - abnormal loads - notification' in version 3.00. Name changed to 'Abnormal load notification' in version 4.00.,Service
1466,Accessibility of local facilities,Live,"Information on the accessibility of spaces and buildings available to the public such as shops, theatres, leisure centres, parks, transport facilties  etc. in the local area

 In the UK this information is often provided in conjunction with DisabledGo.",04/03/2013,16/05/2019,Description updated in April 2020 review,Service
853,Accessibility of Web sites,Live,The local authority is expected to provide information via its web site in a way which is accessible to all citizens and to advise citizens of the steps it has taken to meet the required government standards on accessibility,03/04/2013,16/05/2019,Added scope notes in version 2.02. Term name changed from 'Internet service standards' to 'Council websites - accessibility' in version 3.00. name changed to 'Accessibility of Web sites' in version 4.00.,Service
429,Accident reporting,Live,"Employers have a duty to report certain dangerous occurrences and accidents at work to the Local Authority who will investigate any incidents. The outcome of these enquiries usually involves the giving of advice to the employer. If a blatant breach of requirements is identified as the main reason for an accident happening, then formal action will be taken.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Accidents' to 'Safety - health and safety - accident reporting' in version 3.00. Name changed to 'Accident reporting' in version 4.00.,Service
650,Accommodation certificates,Live,"The certificate shows that a property is considered to provide a safe and healthy environment for the occupants and that the property satisfies overcrowding standards. Anyone requiring a visa application to enter and to reside in the UK with relatives, on a permanent or semi-permanent basis, will need the certificate.",03/04/2013,25/01/2019,Added scope notes in version 2.02. Scope notes changed in version 3.00 to include Scottish terminology. Term name changed from 'Accommodation certificates (fitness for human habitation)' to 'Housing - accommodation certificates - fitness for human habitation' in version 3.00. Name changed to 'Accommodation certificates' in version 4.00. Description updated 25/01/2019.,Service
642,Activities for children and young people,Live,"Information about sporting, cultural and social activities in the local area for children and young people.  Activities may be available on a drop-in basis or may require a regular commitment.",04/03/2013,03/04/2013,Label and description modified to include other assistance in April 2020,Service
640,Activities for older people,Live,"Provision of leisure activities for older people within the community. This may include cultural, sporting and other organised social activities.",03/04/2013,25/01/2019,Added scope notes in version 2.02. Name changed to 'Older people's activities' in version 4.00. Name changed to 'Activities for older people' 25/01/2019,Service
681,Acupuncturist registration,Live,All persons that carry out acupuncture are required to be registered with the local authority. Officers will visit the premises to ensure they comply with the requirements of all relevant legislation.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Licence - acupuncturist' to 'Licences - acupuncturist' in version 3.00. Term name changed from 'Licences - acupuncturist' to 'Registration - acupuncturist' in version 3.03. Name changed to 'Acupuncturist registration' in version 4.00.,Service
160,Adoption,Live,The local authority attempts to find adoptive homes for children who are no longer able to live in their own homes.  The authority reviews applications from prospective adoptive parents to assess suitability.  Ongoing support is provided for adopted children and their new families.,03/04/2013,03/04/2013,Term name changed from 'Adopting' to 'Adoption' and scope notes added in version 2.02. Term name changed from 'Adoption' to 'Social services - adoptive homes' in version 3.00. Name changed to 'Adoption' in version 4.00.,Service
1828,Adoption support services,Live,"A local authority, where requested to do so, will carry out an assessment for adoption support services and, where the assessment identifies a need, will provide such services or arrange for them to be provided.  The authority will also appoint an adoption support services adviser to provide advice and information to anyone affected by an adoption or proposed adoption.",01/04/2021,01/04/2021,Added following review of Children's services,Service
1757,Adult care plan,Live,Following a social care assessment the council will work with any adult who has social care needs to create a care plan which will detail how any eligible needs are to be met.  The plan may also suggest ways of meeting needs for which the individual is not eligible to receive help from the council.,22/06/2015,22/06/2015,,Service
225,Adult carers advice and support,Live,"Provision of advice and support for adult carers who care for the elderly, children with special needs and adults with physical or learning disabilities. Carers may be entitled to receive additional help and support for their own needs from the local authority.",03/04/2013,25/01/2019,Added scope notes in version 2.02. Term name changed from 'Adult carers' to 'Carers - adult' in version 3.00. Name changed to 'Adult carers' in version 4.00. Name changed to 'Adult carers advice and support' 25/01/2019.,Service
27,Adult education and learning,Live,"Provision of ddult learning opportunities which can increase skills to support learners into work, enable attendees to gain qualifications, help attendees to meet new friends or simply find new hobbies or interests.  Courses may be available full time, part time or online.",04/03/2013,03/04/2013,Label and description modified to include other assistance in April 2020,Service
